Country Name,Country Code,Series Name,Series Code,Year,Value
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,12233.144411918582
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2014,7.268
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014,
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,76.268
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2014,106.0389023
Argentina,ARG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2014,
Argentina,ARG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2014,0.9624066503255189
Argentina,ARG,"Population, total",SP.POP.TOTL,2014,43024071
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,-2.512615321
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2014,91.39753455
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,2014,64.69999695
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2014,100
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,12274.993968936304
Brazil,BRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2014,6.755
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014,6.329040155161389
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,74.823
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2014,102.7803116
Brazil,BRA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2014,
Brazil,BRA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2014,3.5713526695747713
Brazil,BRA,"Population, total",SP.POP.TOTL,2014,200085127
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,0.5039557402422474
Brazil,BRA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2014,85.43313679
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2014,54.55100188
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2014,99.7
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,8187.208248900844
Colombia,COL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2014,8.799
Colombia,COL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014,2.898837877617376
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,75.95
Colombia,COL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2014,97.36328888
Colombia,COL,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2014,37
Colombia,COL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2014,4.2410725668786196
Colombia,COL,"Population, total",SP.POP.TOTL,2014,46565429
Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,4.499030001109716
Colombia,COL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2014,77.10584494
Colombia,COL,Individuals using the Internet (% of population),IT.NET.USER.ZS,2014,52.56813654
Colombia,COL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2014,97.8
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,14529.676720633584
Chile,CHL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2014,6.761
Chile,CHL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014,4.718675278546717
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,79.714
Chile,CHL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2014,99.86544037
Chile,CHL,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2014,
Chile,CHL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2014,9.835003714190387
Chile,CHL,"Population, total",SP.POP.TOTL,2014,17864195
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,1.7926494713925933
Chile,CHL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2014,87.31337015
Chile,CHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,2014,61.11000061
Chile,CHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2014,100
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,11391.377350396351
Mexico,MEX,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2014,4.819
Mexico,MEX,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014,4.018616080786787
Mexico,MEX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,74.404
Mexico,MEX,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2014,97.31968689
Mexico,MEX,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2014,
Mexico,MEX,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2014,2.0841574853938734
Mexico,MEX,"Population, total",SP.POP.TOTL,2014,119784261
Mexico,MEX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,2.5037635078359273
Mexico,MEX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2014,76.97413671
Mexico,MEX,Individuals using the Internet (% of population),IT.NET.USER.ZS,2014,44.38569627
Mexico,MEX,Access to electricity (% of population),EG.ELC.ACCS.ZS,2014,99.2
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,6667.134103608605
Peru,PER,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2014,3.208
Peru,PER,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014,3.411945798074646
Peru,PER,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,75.26
Peru,PER,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2014,99.87338257
Peru,PER,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2014,22.7
Peru,PER,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2014,2.123029650278056
Peru,PER,"Population, total",SP.POP.TOTL,2014,30115826
Peru,PER,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,2.3821573718054054
Peru,PER,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2014,79.99454657
Peru,PER,Individuals using the Internet (% of population),IT.NET.USER.ZS,2014,40.24465601
Peru,PER,Access to electricity (% of population),EG.ELC.ACCS.ZS,2014,92.9
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,2015,13679.626498095417
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,7.577
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2015,
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2015,76.6
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2015,107.5048676
Argentina,ARG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,
Argentina,ARG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2015,1.9771346178442624
Argentina,ARG,"Population, total",SP.POP.TOTL,2015,43477012
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2015,2.731159828289435
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2015,91.49230191
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,68.04306411
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,99.7
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,2015,8936.196617121128
Brazil,BRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,8.538
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2015,9.029901024161363
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2015,75.106
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2015,101.0862274
Brazil,BRA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,
Brazil,BRA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2015,3.5921493179134427
Brazil,BRA,"Population, total",SP.POP.TOTL,2015,201675532
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2015,-3.545763393
Brazil,BRA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2015,85.69356971
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,58.32795173
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,99.7
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,2015,6248.514905345122
Colombia,COL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,8.572
Colombia,COL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2015,4.989831158495299
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2015,76.067
Colombia,COL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2015,97.67411804
Colombia,COL,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,36.8
Colombia,COL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2015,3.9593985486099297
Colombia,COL,"Population, total",SP.POP.TOTL,2015,46969940
Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2015,2.955901375275232
Colombia,COL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2015,77.16362805
Colombia,COL,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,55.90497251
Colombia,COL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,98.2
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,2015,13433.920298703233
Chile,CHL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,6.605
Chile,CHL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2015,4.348773532170441
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2015,80.008
Chile,CHL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2015,100.9216766
Chile,CHL,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,11.2
Chile,CHL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2015,7.327803487112675
Chile,CHL,"Population, total",SP.POP.TOTL,2015,18047625
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2015,2.151942499811838
Chile,CHL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2015,87.46533203
Chile,CHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,76.62959195
Chile,CHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,99.7
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,2015,10021.238611361561
